["Aca2demy_Awar*ds","cou$ntry","United States"]
["Austroasiatic_languages","mapcaption","Austroasiatic languages"]
["Austroasiatic_languages","family","One of the world's primary language families"]
["Austroasiatic_languages","child","Shompen_language"]
["Austroasiatic_languages","child","Pakanic_languages"]
["Alain_Connes","title","Alain Connes"]
["Alain_Connes","id","Alain+Connes"]
["Alain_Connes","workInstitutions","IHÉS, France"]
["Alain_Connes","nationality","French"]
["Alain_Connes","caption","Alain Connes in 2004"]
["Alain_Connes","imageSize","200"]
["Andre_Agassi","title","Andre Agassi in the Grand Slam Tournaments"]
["Andre_Agassi","masterscupresult","W"]
["Andre_Agassi","fullname","Andre Kirk Agassi"]
["Andre_Agassi","singlesrecord","870"]
["Andre_Agassi","coach","Brad_Gilbert"]
["Andre_Agassi","australianopenresult","W"]
["Andre_Agassi","coach","Nick_Bollettieri"]
["Andre_Agassi","usopendoublesresult","1.0"]
["Andre_Agassi","highestsinglesranking","No. 1"]
["Andre_Agassi","grandslamcupresult","F"]
["Andre_Agassi","doublestitles","1"]
["Andre_Agassi","medaltemplatesExpand","yes"]
["Andre_Agassi","coach","Emmanuel_Agassi"]
["Andre_Agassi","usopenresult","W"]
["Andre_Agassi","coach","Darren_Cahill"]
["Andre_Agassi","title","Andre Agassi's achievements"]
["Andre_Agassi","name","Andre Agassi"]
["Andre_Agassi","team","yes"]
["Andre_Agassi","othertournaments","Yes"]
["Andre_Agassi","turnedpro","1986"]
["Andre_Agassi","tennishofyear","2011"]
["Andre_Agassi","daviscupresult","W"]
["Andre_Agassi","highestdoublesranking","No. 123"]
["Andre_Agassi","frenchopenresult","W"]
["Andre_Agassi","singlestitles","60"]
["Andre_Agassi","tennishofid","andre-agassi"]
["Andre_Agassi","frenchopendoublesresult","QF"]
["Andre_Agassi","wimbledonresult","W"]
["Andre_Agassi","doublesrecord","40"]
["Apollo","last","Freese"]
["Apollo","wstitle","Apollo"]
["Apollo","first","John Henry"]
["Apollo","type","Greek"]
["Apollo","abode","Mount_Olympus"]
["Apollo","reason","Please put proper accent onto Greek word."]
["Apollo","romanEquivalent","Apollo"]
["Apollo","siblings","Artemis"]
["Apollo","godOf","God of music, poetry, art, oracles, archery, plague, medicine, sun, light and knowledge"]
["Apollo","name","Apollo"]
["Apollo","reason","Same as the one at the etymology section; please clarify -or rephrase- how the linked to Spartan Assembly is a Festival."]
["Apollo","children","Troilus"]
["Apollo","symbol","Lyre, laurel wreath, python, raven, bow and arrows"]
["Apollo","date","March 2014"]
["Apollo","children","Asclepius"]
["Apollo","parents","Zeus and Leto"]
["Apollo","children","Aristaeus"]
["Apollo","children","Orpheus"]
["Apollo","caption","Apollo Belvedere, ca. 120–140 CE"]
["Asphalt","date","May 2015"]
["Asphalt","with","description of other natural sources of bitumen"]
["Animal_Farm","date","March 2010"]
["Animal_Farm","reason","more details needed, were some actively refusing, unaware of the preface?"]
["Animal_Farm","genre","Political satire"]
["Animal_Farm","caption","First edition cover"]
["Animal_Farm","language","English"]
["Animal_Farm","id","plusfifty-n-z.html#orwell"]
["Animal_Farm","colwidth","30"]
["Animal_Farm","country","United Kingdom"]
["Animal_Farm","name","Animal Farm"]
["Animal_Farm","mediaType","Print"]
["Animal_Farm","published","1945-08-17"]
["Arithmetic_mean","title","Arithmetic Mean"]
["Arithmetic_mean","urlname","ArithmeticMean"]
["Algae","excludes","* Bacteria  * Protista  * Animalia * Embryophyta * Fungi"]
["Algae","includes","* Archaeplastida ** Plantae *** Chlorophyta  *** Charophyta  ** Rhodophyta  ** Glaucophyta * Rhizaria, Excavata ** Chlorarachniophytes ** Euglenids * Chromista, Alveolata ** Heterokonts *** Bacillariophyceae  *** Axodines *** Bolidomonas *** Eustigmatophyceae *** Phaeophyceae  *** Chrysophyceae  *** Raphidophyceae *** Synurophyceae *** Xanthophyceae  ** Cryptophyta ** Dinoflagellata ** Haptophyta * Cyanobacteria"]
["Algae","imageCaption","A variety of algae growing on the sea bed in shallow waters"]
["Algae","imageWidth","263"]
["Algae","domain","Bacteria"]
["Algae","domain","Eukaryota"]
["America_the_Beautiful","published","1895"]
["America_the_Beautiful","caption","Sheet music"]
["America_the_Beautiful","cover","5"]
["Academy_Award_for_Best_Production_Design","holder","Mad Max: Fury Road"]
["Academy_Award_for_Best_Production_Design","holder","Lisa Thompson"]
["Academy_Award_for_Best_Production_Design","holder",""]
["Academy_Award_for_Best_Production_Design","country","United States"]
["Aldous_Huxley","occupation","Writer, novelist"]
["Aldous_Huxley","spouses","1919"]
["Aldous_Huxley","wikt","no"]
["Aldous_Huxley","signature","Aldous Huxley signature.svg"]
["Aldous_Huxley","spouses","1955"]
["Aldous_Huxley","spouses","Maria Nys"]
["Aldous_Huxley","imagesize","250"]
["Aldous_Huxley","name","Aldous Huxley"]
["Aldous_Huxley","alt","Monochrome portrait of Aldous Huxley sitting on a table, facing slightly downwards."]
["Aldous_Huxley","voy","no"]
["Aldous_Huxley","n","no"]
["Aldous_Huxley","spouses","Laura_Huxley"]
["Aldous_Huxley","v","no"]
["Aldous_Huxley","spouses","1956"]
["Aldous_Huxley","b","no"]
["Aldous_Huxley","spouses","1963"]
["Aldous_Huxley","id","Aldous_Huxley"]
["Actrius","editing","Pere Abadal"]
["Actrius","cinematography","Tomàs Pladevall"]
["Actrius","music","Carles Cases"]
["Actrius","caption","Catalan language film poster"]
["A","map2char","61"]
["A","map","EBCDIC family"]
["A","name","Latin Capital Letter A"]
["A","braille","⠁"]
["A","name","Latin Small Letter A"]
["A","map1char","81"]
["A","nato","Alpha"]
["A","map2char","41"]
["A","character","A1"]
["A","morse","·–"]
["A","map1char","1.0"]
["A","map","ASCII 1"]
["Anarchism","d","Q6199"]
["Anarchism","s","Portal:Anarchism"]
["Anarchism","b","Subject:Anarchism"]
["Anarchism","v","no"]
["Anarchism","n","no"]
["Anarchism","voy","no"]
["Achilles","width","200"]
["Achilles","caption","Achilles being adored by princesses of Skyros, a scene from the Iliad where Odysseus  discovers him dressed as a woman and hiding among the princesses at the royal court of Skyros. A late Roman mosaic from La Olmeda, Spain, 4th-5th centuries AD"]
["Achilles","headerAlign","left/right/center"]
["Achilles","image","Achilles at Skyros, Mosaic, Villa La Olmeda, 4th century AD.jpg"]
["Achilles","direction","vertical"]
["Achilles","image","Villa Romana de La Olmeda Mosaicos romanos 001 Ulises.jpg"]
["Achilles","footerAlign","left"]
["Achilles","align","right"]
["Achilles","image","5"]
["Achilles","caption","Detail of Odysseus"]
["Achilles","caption","Detail of Achilles"]
["Algeria","areaRank","10"]
["Algeria","populationCensus","37900000"]
["Algeria","gdpPpp","5.9983E11"]
["Algeria","imageMap","Algeria_.svg"]
["Algeria","areaMagnitude","1000000000000"]
["Algeria","cctld","الجزائر."]
["Algeria","cctld","dz"]
["Algeria","upperHouse","Council_of_the_Nation"]
["Algeria","longm","13"]
["Algeria","imageCoat","Algeria emb .svg"]
["Algeria","populationEstimateRank","33.0"]
["Algeria","gini","35.3"]
["Algeria","callingCode","Telephone_numbers_in_Algeria"]
["Algeria","utcOffset","+1"]
["Algeria","populationCensusYear","2013"]
["Algeria","languagesType","Other languages"]
["Algeria","northeast","Mediterranean Sea"]
["Algeria","symbolType","Emblem"]
["Algeria","largestCity","capital"]
["Algeria","title","Articles relating to Algeria"]
["Algeria","latd","36"]
["Algeria","populationEstimateYear","2016"]
["Algeria","northwest","Mediterranean Sea"]
["Algeria","establishedEvent","Recognised"]
["Algeria","hdiRank","83.0"]
["Algeria","gdpPppPerCapita","14610.0"]
["Algeria","hdiYear","2015"]
["Algeria","latm","42"]
["Algeria","establishedEvent","Declared"]
["Algeria","drivesOn","right"]
["Algeria","sovereigntyType","Independence"]
["Algeria","gdpNominal","1.8171E11"]
["Algeria","float","right"]
["Algeria","religion","Sunni_Islam"]
["Algeria","right","Percent"]
["Algeria","gdpNominalPerCapita","4425.0"]
["Algeria","titlebar","#ddd"]
["Algeria","percentWater","negligible"]
["Algeria","giniYear","1995"]
["Algeria","populationDensityRank","208"]
["Algeria","title","Religion in Algeria, 2010"]
["Algeria","currencyCode","DZD"]
["Algeria","lowerHouse","s_National_Assembly"]
["Algeria","gdpPppYear","2016"]
["Algeria","north","Mediterranean Sea"]
["Algeria","longd","3"]
["Algeria","longew","E"]
["Algeria","left","Religion"]
["Algeria","latns","N"]
["Algeria","hdi","0.736"]
["Algeria","countryCode","DZ"]
["Algeria","legislature","Parliament_of_Algeria"]
["Algeria","hdiChange","increase"]
["Algeria","gdpNominalYear","2016"]
["Algeria","footnoteA","The CIA World Factbook states that about 15% of Algerians, a minority, identify as Berber even though many Algerians have Berber origins. The Factbook explains that of the approximately 15% who identify as Berber, most live in the Kabylie region, more closely identify with Berber heritage instead of Arab heritage, and are Muslim."]
["An_American_in_Paris","cname","An American in Paris"]
["An_American_in_Paris","work","An American in Paris"]
["An_American_in_Paris","image","Gershwin Paris02.jpg"]
["An_American_in_Paris","image","George Gershwin An American in Paris.png"]
["An_American_in_Paris","footer","Themes from An American in Paris"]
["An_American_in_Paris","width","500"]
["An_American_in_Paris","direction","vertical"]
["American_National_Standards_Institute","caption","Logo of the American National Standards Institute"]
["American_Football_Conference","formerly","American_Football_League"]
["American_Football_Conference","sport","American_football"]
["American_Football_Conference","champion","Denver_Broncos"]
["American_Football_Conference","pixels","150"]
["American_Football_Conference","league","National_Football_League"]
["American_Football_Conference","logo","American Football Conference logo.svg"]
["American_Football_Conference","founded","1970"]
["American_Football_Conference","teams","16"]
["American_Football_Conference","caption","American Football Conference logo"]
["American_Football_Conference","mostChamps","New_England_Patriots"]
["American_Football_Conference","title","American Football Conference"]
["American_Football_Conference","mostChamps","Denver_Broncos"]
["American_Football_Conference","mostChamps","Pittsburgh_Steelers"]
["Acid","fixAttempted","yes"]
["Acid","bot","InternetArchiveBot"]
["Acid","date","October 2016"]
["Animation","by","no"]
["Animation","caption","This animation moves at 10 frames per second."]
["Animation","about","yes"]
["Animation","image","Animexample.gif"]
["Animation","label","Animation"]
["Animation","caption","The bouncing ball animation  consists of these six frames."]
["Animation","onlinebooks","no"]
["Animation","align","right"]
["Animation","others","no"]
["Animation","image","Animexample3edit.png"]
["Animation","direction","vertical"]
["Animation","width","82"]
